Frame,latitude,longitude,depth,mag
18,8.2171,-103.286,10,4.8
18,37.3948,20.9245,10,4.5
18,-5.4127,145.8958,56.96,4.9
18,3.334,128.6882,12.26,5.2
18,40.8238,142.3808,46.29,4.8
18,-3.2663,-76.818,103,5.7
18,8.2897,-103.2736,10,4.6
18,-28.6111,-178.4696,264.73,4.8
18,12.6912,125.9304,10,4.6
18,-22.3011,169.3935,10,4.8
18,31.1206,-41.1075,10,4.7
18,-21.1521,-173.8188,10,4.7
18,-18.0719,-178.0491,601.76,4.5
18,-22.5514,-66.2019,254.17,4.6
18,3.4898,128.7925,10,4.6
19,2.3048,126.6983,48.3,5
19,-31.7983,-69.3761,132.26,4.5
19,-31.2922,-69.3221,137.4,4.5
19,6.0302,126.1758,88.14,4.5
19,-22.3255,169.5706,10,4.9
19,-21.9993,169.2701,10,4.9
19,12.4298,144.1569,6.45,5
19,-5.6248,142.1542,28.5,5.1
19,-64.941,-173.6239,10,4.7
19,-30.0404,-71.3815,63,6.7
19,30.0401,95.1522,10,4.6
19,-19.0293,168.805,35,4.8
19,5.6615,121.6336,50.9,4.8
19,-29.8819,-71.9885,17.03,4.5
19,14.1174,145.3625,112.72,4.6
19,-12.8272,45.4064,10,4.9
19,-3.0622,146.2067,10,4.5
19,-11.1917,162.1058,10,4.5
20,13.135,-81.0719,10,4.5
20,30.3908,87.6229,9.85,5.2
20,30.3859,87.6754,9.97,4.7
20,35.6046,28.2928,10,4.9
20,10.9573,138.6479,37.12,4.7
20,19.4809,145.7392,136.11,4.5
20,-20.6419,-174.6671,113.14,4.8
20,-21.9127,169.0164,10,5.5
20,-21.9552,169.2489,9,5.6
20,51.6388,176.3372,39.09,4.6
20,30.9658,-41.4462,10,4.9
20,-59.725,-27.0357,10,4.6
20,-22.8513,69.1853,10,5.4
20,2.6567,-79.0168,10,4.6
20,29.0221,141.878,28.69,4.7
20,15.584,-94.7368,29,5.6
21,2.9417,127.4209,37.08,4.5
21,2.6434,-79.12,10,4.6
21,15.764,-61.6503,11.42,4.5
21,-18.6608,-174.614,126.71,4.6
21,-13.1462,-112.1221,10,4.6
21,4.4905,126.885,14.07,5
21,-6.8055,155.4222,35,4.5
21,15.8513,145.5932,34.9,4.6
21,-31.7758,-72.257,12.11,4.5
21,-33.9078,-70.3412,103.42,4.7
21,-10.3278,119.1521,26,6
21,-10.3438,119.1059,10,5
21,-30.0953,-71.4701,49.52,4.6
21,-10.3487,118.9293,10,4.6
21,-10.3348,119.1155,10,5.1
21,-33.057,-179.857,81.53,4.6
21,22.1646,121.465,24.38,4.7
21,4.1674,126.6337,35,4.8
21,58.3317,-155.3231,121.5,5.2
21,-10.4148,119.0165,24,6.3
21,-19.4468,169.2318,149.06,4.5
21,41.4343,-29.2283,10,5
21,-57.8132,-26.1289,35,4.6
21,28.6395,130.1651,35,4.5
21,1.5668,-90.4936,10,4.7
21,-32.1287,-72.0474,10,4.6
22,-8.3389,128.6408,10,4.6
22,-8.3051,128.7408,10,4.8
22,-24.0715,-179.6911,505.71,4.6
22,-15.1102,-173.1311,10,4.9
22,-30.2224,-71.6299,43.82,4.8
22,-20.3347,-175.883,202.25,4.9
22,-20.3726,-177.9546,545.16,4.5
22,-30.1362,-71.5813,47.09,4.8
22,-17.2839,-171.8365,23.09,4.5
22,-43.1219,42.3568,13,6.7
22,-5.3536,129.06,245.83,4.6
22,36.8146,27.9973,73.67,4.8
22,-6.1925,154.2299,35,4.5
22,61.503,-150.2373,45.5,4.5
22,-33.4784,-177.9345,10,5.1
22,-39.8745,174.9295,110.85,4.9
22,9.7314,126.4133,35,4.6
22,9.8158,126.4929,35,4.7
22,11.2431,140.9222,10,4.5
22,10.6804,-62.9008,107.78,4.5
22,9.6779,126.4719,21.79,4.6
22,-24.2926,-67.2007,184.84,4.5
22,-10.2981,118.9231,24,5.6
23,-10.4128,119.0016,10,5
23,-0.1699,-16.1359,10,4.9
23,9.7973,126.5479,35,4.6
23,-10.3602,118.7175,10,4.5
23,7.9833,-37.974,10,5.3
23,-30.2323,-178.0208,47.23,5.2
23,-5.2165,151.7983,35,4.6
23,-16.8688,167.2654,10,4.5
23,-12.795,45.4867,10,4.5
23,-7.2173,155.007,10,4.5
23,-15.1437,-173.3753,10,5
23,-14.518,165.7107,10,4.5
23,-3.095,146.6678,10,5
23,13.4059,144.4296,89.73,4.5
23,6.7506,-73.0062,159.2,5.2
23,-24.7843,179.8812,518.43,4.6
23,-5.0823,153.1372,35,4.6
23,-24.1697,-179.8754,517.43,4.5
23,19.2411,121.1371,19,5.5
23,-33.021,-178.3228,10,4.7
23,-16.7146,-173.3579,71.97,4.5
23,-30.1191,-71.3753,58.3,5.1
23,-22.5607,-174.3977,10,5.2
24,26.8729,128.1405,42.25,4.8
24,8.0598,-37.8988,10,4.8
24,36.0652,28.0928,47.7,5.1
24,2.8795,-31.1293,10,4.9
24,-9.6306,-74.6628,71.71,5.1
24,12.9743,-89.0867,79.45,4.6
24,-25.8987,-178.7564,344.68,4.6
24,-6.0547,148.0342,59.4,5.2
24,-6.21,130.3293,123,4.5
24,6.3135,126.9412,200.86,4.8
24,-23.5616,-177.4488,188.21,4.5
24,5.8646,127.0655,53.41,4.5
24,26.9503,143.3464,10,4.6
24,-5.3795,146.9943,200.02,4.8
24,-23.6911,-179.924,531.13,4.5
24,-18.0388,-177.9696,595.67,4.5
24,-16.0655,-173.0795,10,4.9
24,-15.6985,-173.6067,35,4.9
24,-14.5333,-75.3517,60.5,5.7
24,30.0438,131.1545,10,4.9
24,32.028,129.1417,10,4.6
24,5.1872,-32.6423,10,4.6
24,-32.3929,-179.5342,10,4.5
24,-30.1795,-71.5061,64.23,4.6
24,-1.3246,-77.4919,192.49,4.5
25,-60.5182,-50.3844,10,4.5
25,-13.3145,166.449,35,4.7
25,24.0031,94.8664,47.2,4.5
25,-32.2588,-179.6111,10,4.5
25,12.7535,-44.8918,10,4.6
25,-33.4939,-70.2605,102.96,4.5
25,38.6414,15.2673,216.46,4.5
25,24.3098,93.8919,55.87,4.6
25,-15.3088,-71.6988,138.34,4.8
25,-19.1235,168.6132,37.8,5
25,-15.4555,-173.5918,93.17,5
25,2.168,126.7014,39.63,4.9
25,30.3857,131.1241,35,4.8
25,-30.4981,-177.5717,10,4.6
25,-50.1478,119.7614,10,4.9
25,-10.8381,165.9765,35.84,5.7
25,-7.0089,156.3207,355,6.2
25,-5.4962,133.7648,10,5.9
25,40.3332,142.2224,48.24,5.5
25,-23.104,-179.7415,545.27,4.7
25,3.6249,-78.0978,10,4.5
26,3.0345,-75.7383,10,5.6
26,29.21,130.4663,53.32,4.9
26,-13.5019,166.1302,17.53,4.7
26,1.8681,97.8895,54.3,4.9
26,-6.5067,130.3047,90.57,5.2
26,1.7744,126.4454,59.39,4.5
26,-21.0475,-178.9592,588,6.2
26,-21.1495,-178.9444,582.68,5.3
26,-32.2722,-13.6665,10,4.6
26,25.8613,129.0367,10,4.9
26,-20.754,169.2429,10,4.8
26,-24.0941,179.6677,593.05,4.6
26,65.1212,143.9449,10,4.5
26,-18.1812,-177.8611,604.71,4.8
26,24.3085,125.2179,35,4.8
26,1.6778,95.0403,10,4.8
26,24.8046,94.3026,67.97,4.7
26,19.5799,-109.2126,10,4.7
26,-23.5661,-179.9279,538.26,4.7
26,11.505,125.872,35,5
26,-20.102,-177.8151,562.39,5.8
